county,year,access_to_exercise_opps,limited_access_to_healthy_food,adult_obesity,physical_inactivity,excessive_drinking,diabetic_screening,adult_smoking,diabetes,median_household_income,population,pop_over_65,pop_under_18,access_to_recreational_facilities,access_to_healthy_foods,binge_drinking,colorectal_cancer_incidence_rate,pop_between_18_and_65
Henry,2011,NA,NA,28.2,30.1,11,83.557,31,12,33479,54888,17.5,23.8,9,71.4,10.7,57.1,58.7
Highland,2011,NA,NA,25.4,25,NA,90.9091,NA,11.4,38088,2338,24.1,20.5,0,16.7,NA,NA,55.400000000000006
Isle of Wight,2011,NA,NA,29.9,25.6,13.7,76.8889,16,11.9,60042,35877,13.9,16.2,11,60,12.4,49.7,69.89999999999999
James City,2011,NA,NA,26,21.7,11.3,87.2727,11.7,9.5,76705,63735,19.2,22.7,14,66.7,9.1,33.8,58.099999999999994
King and Queen,2011,NA,NA,30.3,27.2,NA,81.5789,NA,12.1,46715,6796,17.1,20.8,0,0,NA,NA,62.10000000000001
King George,2011,NA,NA,27.5,23.4,NA,88.6179,NA,8.9,78636,23557,9.4,19.4,13,50,NA,NA,71.19999999999999
King William,2011,NA,NA,29.3,23.3,11.9,85.8824,21.3,9.9,63605,16225,11.7,27,19,50,11.8,NA,61.3
Lancaster,2011,NA,NA,27,28.7,22.6,84.6715,NA,13.4,45715,11230,31.5,25.3,9,60,15.2,NA,43.2
Lee,2011,NA,NA,32.6,31.8,9.3,80.1205,28.4,12.6,28682,25166,14.9,16.7,0,37.5,9.3,NA,68.39999999999999
Loudoun,2011,NA,NA,23.3,19.5,18.7,85.4637,13.7,6.6,111582,301171,6.4,19.9,15,72.2,17.3,31.2,73.69999999999999
Louisa,2011,NA,NA,28.7,27.6,15.6,87.5472,31.6,10.2,54777,33078,14.8,29.8,9,100,15.5,NA,55.400000000000006
Lunenburg,2011,NA,NA,31.1,28.2,13.3,84.9462,22.2,12.1,34379,12799,18.2,22,8,50,12.2,NA,59.8
Madison,2011,NA,NA,29.3,23.4,NA,92,NA,9.9,52472,13702,17.5,19.4,7,40,NA,NA,63.1
Mathews,2011,NA,NA,27.6,26,11.2,89.5349,NA,11.7,53143,8984,24,21.4,11,7.7,10.3,NA,54.6
Mecklenburg,2011,NA,NA,29.9,29.3,14.9,82.4324,29.8,12.7,36941,31969,20.8,18,12,50,13.4,37.2,61.2
Middlesex,2011,NA,NA,26.7,27.4,NA,79.7753,NA,11.9,56599,10731,25.7,19.7,19,27.3,NA,NA,54.599999999999994
Montgomery,2011,NA,NA,26,19.7,19.2,87.9479,15.4,6.6,43176,91023,9.2,15.9,9,50,18.2,34.1,74.89999999999999
Nelson,2011,NA,NA,26,23.5,7.6,87.5,NA,10.7,45551,15487,20.4,16.3,7,23.1,6.3,NA,63.3
New Kent,2011,NA,NA,28.6,21.6,NA,89.7059,NA,9.5,71549,18112,10.5,19.1,6,40,NA,NA,70.4
Northampton,2011,NA,NA,29.8,27.1,18.5,90.4,21.8,13.3,34424,13492,20.6,21.8,7,20,15.6,NA,57.60000000000001
Northumberland,2011,NA,NA,29.9,28.2,9.5,84.4444,21.7,13.2,47152,12995,30.3,22.1,0,80,6.4,NA,47.6
Nottoway,2011,NA,NA,31.3,28.3,NA,87.3874,18.8,11.8,37900,15929,18.1,16,6,66.7,NA,NA,65.9
Orange,2011,NA,NA,27,24.4,9.9,92.3423,23.9,9.9,52158,33600,17.8,21,9,37.5,9.1,NA,61.2
Page,2011,NA,NA,28.4,25.2,16.4,85.2792,NA,9.5,41120,24070,17.6,22.9,4,75,16.3,NA,59.50000000000001
Patrick,2011,NA,NA,27.5,27.4,9.9,90,24.6,11.4,34592,18636,20.7,21.1,11,57.1,6.2,NA,58.199999999999996
Pittsylvania,2011,NA,NA,28.5,28.9,9.3,82.0896,23.8,11.5,38590,61414,14.7,18.9,0,35.7,8.5,46.9,66.4
Powhatan,2011,NA,NA,26.9,25.4,NA,76.1905,NA,8.9,74825,27964,11.1,21.4,7,100,21.3,NA,67.5
Prince Edward,2011,NA,NA,30.1,27.1,11.7,90,27.8,11,37999,22370,14,22.5,5,20,11.4,NA,63.5
Prince George,2011,NA,NA,30.1,26.6,13,74.0566,26.7,9.4,62570,37116,6.7,17.6,3,33.3,11.9,NA,75.69999999999999
Prince William,2011,NA,NA,27.9,19.4,16.8,80.6616,20.2,9.2,87973,379166,6.7,22.2,11,86.7,15.6,25.3,71.1
Pulaski,2011,NA,NA,26,23.7,11.3,83.7607,30,11.4,40426,35022,17.7,29.3,11,50,10.3,NA,53
Rappahannock,2011,NA,NA,26.4,24.1,NA,74.2424,NA,10.7,60614,7035,17.5,19,0,16.7,NA,NA,63.5
Richmond,2011,NA,NA,28.9,28,9.4,82.9268,19.6,10.9,52405,8961,18.7,20.4,33,50,7.2,NA,60.9
Roanoke,2011,NA,NA,24.4,22.1,11.3,86.7232,16.4,10.2,60032,91011,15.9,17,12,80,9.8,46.1,67.1
Rockbridge,2011,NA,NA,28.3,25.7,12.2,83.75,16.9,10.7,45236,21294,18.1,23.3,9,37.5,11.7,NA,58.60000000000001
Rockingham,2011,NA,NA,28.3,20.8,11,84.6154,13.8,9.5,53036,75134,14.4,20.7,5,41.2,10.7,37.2,64.89999999999999
Russell,2011,NA,NA,27.2,29.8,5.7,90,22,12.2,32100,29250,16.7,23,3,28.6,5.1,NA,60.3
Scott,2011,NA,NA,26.8,27.7,7.9,83.6066,29.6,10.4,33668,22585,19.6,20.2,9,42.9,7.1,NA,60.2
Shenandoah,2011,NA,NA,27.4,25.2,15.4,87.0229,21.5,11.5,48671,41036,18.1,19.3,15,33.3,14.8,28.9,62.60000000000001
Smyth,2011,NA,NA,26.9,26.5,13.2,85.9649,29.7,9.8,33451,31738,17.7,22.1,16,60,10.8,NA,60.199999999999996
Southampton,2011,NA,NA,28.8,27.1,NA,80,23,11.5,43149,18483,14.2,20.7,0,50,NA,NA,65.1
Spotsylvania,2011,NA,NA,28.5,20.5,14.3,85.0446,21.6,9.5,77461,120977,9.2,20,7,80,13.6,35.1,70.8
Stafford,2011,NA,NA,27.4,20.4,13.9,78.4661,16.3,8.1,87145,124166,6.5,28,14,75,12.6,33.8,65.5
Surry,2011,NA,NA,31.7,27.8,NA,91.4286,NA,12.7,52004,7088,14.6,29.2,0,50,NA,NA,56.2
Sussex,2011,NA,NA,32.2,28.8,8.4,74.6032,NA,12,38102,12116,14.9,19.9,16,75,7.9,NA,65.19999999999999
Tazewell,2011,NA,NA,29,33.1,5.6,80.3235,21.6,11.3,34800,44907,16.6,17.1,7,45.5,4.8,49.3,66.30000000000001
Warren,2011,NA,NA,27.8,24.5,14.6,86.5497,32.4,9.9,53495,36713,12.7,20.4,16,25,14,NA,66.9
Washington,2011,NA,NA,24.4,26.2,5.7,85.9589,27.5,11.3,41594,53018,17.3,24,11,71.4,5.4,25.9,58.7
