county,year,access_to_exercise_opps,limited_access_to_healthy_food,adult_obesity,physical_inactivity,excessive_drinking,diabetic_screening,adult_smoking,diabetes,median_household_income,population,pop_over_65,pop_under_18,access_to_recreational_facilities,access_to_healthy_foods,binge_drinking,colorectal_cancer_incidence_rate,pop_between_18_and_65
Loudoun,2012,NA,2.76,23.2,20.3,18.2,82.802547771,12.2,7,119075,301171,6.4,19.9,14.277603089,2.76,66.7,29.3,73.69999999999999
Louisa,2012,NA,29.07,31.8,30.2,15.6,87.95562599,NA,11.3,50101,33078,14.8,29.8,9.0694721567,29.07,66.7,59.8,55.400000000000006
Lunenburg,2012,NA,0.13,34,32.7,10.9,86.666666667,20.6,13.2,35260,12799,18.2,22,7.8131103992,0.13,50,NA,59.8
Madison,2012,NA,0.74,31.6,25.6,NA,90.625,NA,10,49389,13702,17.5,19.4,0,0.74,33.3,NA,63.1
Mathews,2012,NA,20.39,28.5,26.8,11.7,85.279187817,NA,12,53418,8984,24,21.4,11.130899377,20.39,7.7,NA,54.6
Mecklenburg,2012,NA,0.92,32,29.4,13.9,88.524590164,27.7,13.3,35196,31969,20.8,18,15.640151397,0.92,30,NA,61.2
Middlesex,2012,NA,0,27.9,30.8,NA,88.602941176,NA,12.4,45686,10731,25.7,19.7,18.637592023,0,27.3,NA,54.599999999999994
Montgomery,2012,NA,13.23,28.8,21.4,15.1,84.356197353,15.6,6.6,42827,91023,9.2,15.9,7.6903639739,13.23,57.1,41.2,74.89999999999999
Nelson,2012,NA,29.69,26.2,24.5,8.3,88.664987406,NA,11.6,47368,15487,20.4,16.3,6.4570284755,29.69,15.4,71.8,63.3
New Kent,2012,NA,18.04,29.1,21.5,NA,74.635568513,NA,10.5,67979,18112,10.5,19.1,5.5212014134,18.04,40,NA,70.4
Northampton,2012,NA,0.03,29.8,30.5,18.5,88.235294118,23,14.2,35308,13492,20.6,21.8,7.4117995849,0.03,20,NA,57.60000000000001
Northumberland,2012,NA,0,32.9,29.5,9.4,89.879518072,19.8,13.8,46320,12995,30.3,22.1,0,0,60,NA,47.6
Nottoway,2012,NA,12.28,32.4,28.2,NA,83.591331269,17.9,11.8,36975,15929,18.1,16,0,12.28,100,NA,65.9
Orange,2012,NA,0.85,31.4,25.6,12.1,86.111111111,22.4,11.4,53837,33600,17.8,21,8.9285714286,0.85,37.5,31.4,61.2
Page,2012,NA,0,31.8,27.8,15,83.191489362,24,10.4,37970,24070,17.6,22.9,8.3090984628,0,75,52.4,59.50000000000001
Patrick,2012,NA,1.95,29.9,26.7,10.6,90.26128266,NA,11.9,33678,18636,20.7,21.1,5.3659583602,1.95,71.4,NA,58.199999999999996
Pittsylvania,2012,NA,29.29,29.4,27.7,9.2,86.411149826,24.6,11.7,41031,61414,14.7,18.9,0,29.29,28.6,53.3,66.4
Powhatan,2012,NA,14.3,27.5,27.2,17.8,86.851211073,NA,9.2,70025,27964,11.1,21.4,7.1520526391,14.3,100,NA,67.5
Prince Edward,2012,NA,4.28,31.8,29.3,12.7,90.839694656,27.6,10.2,36100,22370,14,22.5,4.4702726866,4.28,40,NA,63.5
Prince George,2012,NA,14.33,34.6,27.7,14.6,76.614060258,24.9,10.6,59346,37116,6.7,17.6,2.6942558465,14.33,33.3,NA,75.69999999999999
Prince William,2012,NA,4.52,27.2,20.7,17.7,81.370091896,19.2,8.6,91290,379166,6.7,22.2,10.813205825,4.52,86.7,34.5,71.1
Pulaski,2012,NA,17.01,26.6,24.7,12.5,87.058823529,35.2,11.3,41184,35022,17.7,29.3,11.421392268,17.01,50,33.7,53
Rappahannock,2012,NA,0.88,26.4,26.3,NA,87.195121951,NA,10.5,57499,7035,17.5,19,0,0.88,16.7,NA,63.5
Richmond,2012,NA,2,32.1,30,10.4,87.234042553,21.2,11,40596,8961,18.7,20.4,22.318937619,2,50,NA,60.9
Roanoke,2012,NA,7.44,26.9,24,12.2,87.750556793,17,10.8,57720,91011,15.9,17,13.185219369,7.44,60,38.8,67.1
Rockbridge,2012,NA,5.6,28.7,29.1,17.8,84.278350515,18.9,10.5,44502,21294,18.1,23.3,9.3923170846,5.6,25,NA,58.60000000000001
Rockingham,2012,NA,20.19,26.7,20.8,11,87.725631769,12.3,8.9,49158,75134,14.4,20.7,6.6547767988,20.19,35.3,25.1,64.89999999999999
Russell,2012,NA,0.62,30.1,35,4.4,88.051470588,25.6,12.1,34460,29250,16.7,23,3.4188034188,0.62,28.6,NA,60.3
Scott,2012,NA,36.69,27.8,31.7,7.2,89.711934156,30.7,9.9,33797,22585,19.6,20.2,8.8554350232,36.69,42.9,NA,60.2
Shenandoah,2012,NA,0.08,30,28.7,13.1,87.301587302,22.8,10.4,46016,41036,18.1,19.3,14.62130812,0.08,33.3,26.7,62.60000000000001
Smyth,2012,NA,0.02,32.3,24.6,8.9,84.848484848,27.2,9.6,35437,31738,17.7,22.1,9.452391455,0.02,60,NA,60.199999999999996
Southampton,2012,NA,5.93,28.6,27.8,NA,78.391959799,24.2,12.7,43232,18483,14.2,20.7,0,5.93,37.5,NA,65.1
Spotsylvania,2012,NA,11.05,28.4,19.9,15.7,83.319772172,20.4,9.5,72463,120977,9.2,20,6.6128272316,11.05,80,33.9,70.8
Stafford,2012,NA,7.74,29.9,19.8,13.6,81.74386921,17.4,7.8,93185,124166,6.5,28,14.49672213,7.74,75,32.6,65.5
Surry,2012,NA,32.73,34.8,26.9,NA,86.23853211,NA,13.6,46112,7088,14.6,29.2,0,32.73,50,NA,56.2
Sussex,2012,NA,25.13,32.8,30.3,NA,81.603773585,7.9,12.2,37019,12116,14.9,19.9,16.507098052,25.13,75,NA,65.19999999999999
Tazewell,2012,NA,0.02,32.5,37.7,8.9,82.574257426,23,11.7,35485,44907,16.6,17.1,8.9072973033,0.02,45.5,NA,66.30000000000001
Warren,2012,NA,17.41,28.6,24.5,12.8,86.625514403,28.6,10.4,55758,36713,12.7,20.4,10.895323183,17.41,25,NA,66.9
Washington,2012,NA,25.79,27.4,29.9,6.2,88.707280832,24.6,11.5,39690,53018,17.3,24,3.7723037459,25.79,71.4,NA,58.7
Westmoreland,2012,NA,0,29,30.7,13.9,86.699507389,25.3,12.9,45291,17686,19.7,19.7,5.6541897546,0,50,NA,60.599999999999994
Wise,2012,NA,0,35.3,38.1,8.4,83.772538141,33.4,10.8,36789,41773,14,20.3,2.3938907907,0,100,NA,65.7
Wythe,2012,NA,0.03,28.9,25.9,13.2,86.140350877,29.6,10.8,37624,28868,18.3,21.4,3.4640432313,0.03,33.3,43.3,60.300000000000004
York,2012,NA,6.35,28,22.7,14.9,85.008818342,10.3,10.1,77070,61140,12.7,20.7,14.720314033,6.35,50,29.6,66.6
Alexandria City,2012,NA,0,20.1,18.2,19.2,76.781002639,12.8,7,78023,150006,10.7,25.1,10.666240017,0,75,28.5,64.19999999999999
Bedford City,2012,NA,3.52,29.5,25.8,NA,89.03654485,NA,12.7,35664,6350,24.6,18.3,0,3.52,NA,NA,57.10000000000001
Bristol City,2012,NA,17,27.2,26.6,NA,83.372921615,NA,11,33149,17690,23.6,20.3,16.958733748,17,100,NA,56.10000000000001
Buena Vista City,2012,NA,0,28.6,25.1,NA,73.75,NA,10.3,37629,6222,19.6,19.8,16.072002572,0,100,NA,60.60000000000001
Charlottesville City,2012,NA,0.18,26.6,26.3,14.2,78.181818182,15.9,8.5,42686,42218,14.1,18.4,21.317921266,0.18,66.7,NA,67.5
Chesapeake City,2012,NA,6.27,27.5,21.9,16.9,85.080232161,18,9.3,67674,222455,10.4,15.9,8.0915241285,6.27,100,38.4,73.69999999999999
Colonial Heights City,2012,NA,5.35,27.6,23.5,NA,81.753554502,NA,10.6,48883,17823,19,26,22.442910846,5.35,100,NA,55
Covington City,2012,NA,0,28.1,26.4,NA,86.578947368,NA,11.4,33962,6149,21.6,23.2,16.26280696,0,100,NA,55.2
Danville City,2012,NA,7.04,30.3,30.1,13.4,88.454861111,24.8,12.4,31153,44400,21.6,19.2,22.522522523,7.04,100,53.1,59.2
Emporia City,2012,NA,0,32.9,29.7,NA,84.862385321,NA,13.4,33255,5635,19.2,21,35.492457853,0,NA,NA,59.8
Fairfax City,2012,NA,0,28.1,27,NA,86.102719033,5.7,9.5,83413,24665,14.3,22.8,44.597607946,0,100,NA,62.900000000000006
Falls Church City,2012,NA,0,26.2,22.2,NA,79,NA,9.8,105124,11957,13.7,20.9,25.089905495,0,100,NA,65.4
Franklin City,2012,NA,0,32.4,31.6,8.2,73.895582329,22.3,12.1,36454,8814,17.4,22.4,11.345586567,0,100,NA,60.199999999999996
Fredericksburg City,2012,NA,8.37,29.2,25.3,15.9,82,NA,9.9,43460,23193,15.7,25.5,21.558228776,8.37,100,NA,58.8
Galax City,2012,NA,0,29,26,NA,88.101265823,NA,10.5,32061,6880,20.3,20.4,29.069767442,0,100,NA,59.300000000000004
Hampton City,2012,NA,7.18,36.8,27.5,15.7,79.574678536,18.6,11.7,50923,144236,11.7,22.8,9.706314651,7.18,66.7,35.5,65.5
Harrisonburg City,2012,NA,1.68,29.1,24.1,NA,85.742971888,NA,7.4,37179,45137,9.2,22.3,6.6464319738,1.68,66.7,NA,68.5
Hopewell City,2012,NA,7.08,33.3,29.5,14.2,83.026584867,34.5,11.6,37226,23123,14.6,16.1,8.6493967046,7.08,100,84.7,69.30000000000001
Lexington City,2012,NA,0,28.2,24.3,NA,NA,NA,10,41298,6901,19.1,26.2,28.981307057,0,100,NA,54.7
Lynchburg City,2012,NA,14.04,31.2,29.8,16.7,85.479901559,20.2,11.4,36397,73933,16.7,9.8,18.936063733,14.04,100,41.4,73.5
Manassas City,2012,NA,1,28.7,24.6,NA,82.783882784,NA,9.6,64274,36514,9.5,20.2,13.693377882,1,100,NA,70.3
Manassas Park City,2012,NA,4.81,30.1,24.9,NA,87.677725118,NA,8.1,67948,12042,7,28.8,0,4.81,NA,NA,64.2
Martinsville City,2012,NA,0,32.4,29.3,NA,81.67539267,NA,13.6,29887,14635,23.6,30.2,27.331738982,0,100,NA,46.2
Newport News City,2012,NA,5.71,33.7,29.1,17.6,81.787109375,23.4,11,49228,193172,11,22.1,8.8004472698,5.71,87.5,41.2,66.9
Norfolk City,2012,NA,9.68,33,26.1,16.9,79.809681423,25.4,10,41015,233333,9.9,25.6,9.428584898,9.68,75,42.7,64.5
Norton City,2012,NA,0,27.8,25,NA,82.905982906,NA,10.2,33662,3713,16.8,23.4,26.932399677,0,100,NA,59.800000000000004
Petersburg City,2012,NA,19.97,37.6,33.1,6.8,82.474226804,26.6,15.1,32435,32986,16.5,20,6.0631783181,19.97,100,51.6,63.5
Poquoson City,2012,NA,5.34,28.1,23.3,NA,83.105022831,NA,10.4,79229,11794,16.8,24.3,8.47888757,5.34,100,NA,58.900000000000006
Portsmouth City,2012,NA,3.41,39.2,29.2,13.4,82.368596141,22.8,12.3,42740,99321,12.7,23.9,4.0273456771,3.41,57.1,41.7,63.4
Radford City,2012,NA,8.44,27.6,21.7,9.5,87.804878049,12.8,7.5,34009,16184,10.6,24.1,18.536826495,8.44,100,NA,65.30000000000001
Richmond City,2012,NA,7.77,31.3,28.2,18.7,81.898305085,20.5,11.6,39214,204451,14.7,12,5.3802622633,7.77,77.8,49.7,73.3
Roanoke City,2012,NA,14.18,34,27.3,14,85.647058824,26.1,11.7,37486,94482,17.3,20.2,16.934442539,14.18,85.7,49.5,62.5
Salem City,2012,NA,6.93,27.6,23.4,13.9,86.448598131,24.1,10.3,46636,25462,17.2,21.1,11.782263766,6.93,100,NA,61.699999999999996
Staunton City,2012,NA,0,28.3,25.8,NA,85.090361446,NA,11,40855,23886,21.5,19.9,16.74621117,0,100,64.8,58.6
Suffolk City,2012,NA,17.94,32.1,26.6,15.5,84.728610856,18.5,11.7,62419,83659,11.6,19.3,3.5859859668,17.94,42.9,39.9,69.10000000000001
Virginia Beach City,2012,NA,4.19,26.7,24.4,20.2,81.386710689,19.3,8.5,63354,433575,10.6,25.9,12.91587384,4.19,69.2,37.9,63.50000000000001
Waynesboro City,2012,NA,0,28.4,26.5,NA,92.068965517,NA,10.5,40256,22241,18.6,24.6,4.4962007104,0,100,NA,56.800000000000004
Williamsburg City,2012,NA,6.2,28.6,23.8,NA,87.34402852,NA,9.6,46285,12729,16.4,22.9,7.8560766753,6.2,NA,NA,60.699999999999996
Winchester City,2012,NA,3.34,29,25.3,8.9,88.888888889,NA,10.2,41008,26322,17.5,14.4,26.593723881,3.34,100,NA,68.1
Accomack,2013,NA,1.6858734081,33.4,30.4,15.4,86.326194399,21.7,12.4,37714,33336,19.402447804,22.892882003,6.0182956187,1.6858734081,3,43.1,57.704670193
Albemarle,2013,NA,2.7320477917,27.2,19.4,15.4,89.918032787,13.1,9.3,63972,100553,14.48092051,21.106311495,12.09994555,2.7320477917,12,36.3,64.412767995
Alleghany,2013,NA,4.1662967902,25.8,25.6,12,83.697478992,22.6,10.4,45108,16175,20.612055641,21.32507235,6.16674889,4.1662967902,25,NA,58.062872009
Amelia,2013,NA,3.2853247778,32.6,26.1,11.4,91.101694915,23.2,11,49399,12805,16.196798126,20.927357032,7.8449831333,3.2853247778,NA,NA,62.87584484199999
Amherst,2013,NA,7.5797788016,29.8,26,8.9,87.312186978,14.1,12,44494,32167,17.213293126,21.725888325,3.0895665338,7.5797788016,4,40.7,61.060818549000004
Appomattox,2013,NA,0.7514278596,31.7,27.4,NA,88.385269122,NA,12.5,44097,15041,17.857855196,20.791494389,19.965393318,0.7514278596,3,NA,61.350650415
Arlington,2013,NA,0.0842677097,19.3,16.6,19.2,81.968721251,11,6.2,98060,216004,8.6734504917,21.933382089,15.289716232,0.0842677097,90,30.3,69.3931674193
Augusta,2013,NA,2.9383926042,26.6,26.1,11.4,87.664307381,17.6,9.8,51036,73549,16.535914832,15.969611674,5.431683007,2.9383926042,2,30.7,67.494473494
Bath,2013,NA,4.2052114449,27.2,27.3,NA,82.517482517,NA,11.5,42423,4657,22.997637964,20.87315939,0,4.2052114449,1,NA,56.129202645999996
Bedford County,2013,NA,1.7778077116,25.6,29.5,16.4,89.070351759,19.6,8.9,58264,69246,16.777864425,16.791926133,7.2732562368,1.7778077116,2,36.6,66.43020944199999
Bland,2013,NA,13.818532252,30.4,26,NA,90.163934426,NA,10.8,41654,6818,17.908477559,21.693671837,0,13.818532252,NA,NA,60.397850604
Botetourt,2013,NA,2.9382626343,28.8,21.8,13.3,88.977955912,13.2,10.6,62204,32928,17.003765792,17.659137577,9.0426814565,2.9382626343,5,47.1,65.33709663100001
Brunswick,2013,NA,4.5183405643,36,29.4,16.1,88.745980707,29,13.3,35207,17204,17.222738898,21.77781827,5.734602592,4.5183405643,NA,NA,60.999442832
Buchanan,2013,NA,2.8574197893,33.7,31.9,11.7,80.976863753,32.1,13.6,32722,23581,16.487850388,18.577075099,12.494273458,2.8574197893,NA,NA,64.935074513
Buckingham,2013,NA,4.373373055,32.8,28.4,7,90.566037736,23.6,11.5,37440,17278,14.735501794,18.328315169,5.8397570661,4.373373055,NA,NA,66.936183037
Campbell,2013,NA,6.2223022841,31.7,24.4,10.6,88.349514563,21.6,10.6,47450,55032,16.12879779,18.931589304,10.925180721,6.2223022841,2,50.1,64.93961290600001
Caroline,2013,NA,1.0398248389,30.9,23.8,7.3,87.89346247,NA,11,52496,28674,13.702308712,21.318505597,0,1.0398248389,1,55,64.979185691
Carroll,2013,NA,2.0595124687,30.6,30.4,12.9,88.215488215,33.8,12,34891,29981,19.722490911,23.537002162,3.3302251232,2.0595124687,4,NA,56.740506927000006
Charles City,2013,NA,0.5104751828,33.7,31.6,NA,77.669902913,NA,14,45960,7241,17.525203701,20.219472332,0,0.5104751828,3,NA,62.25532396700001
Charlotte,2013,NA,14.340142159000001,30.5,27.1,6.3,91.443850267,NA,12.1,35677,12505,18.896441423,17.23518851,7.9491255962,14.340142159000001,2,89.7,63.868370067
Chesterfield,2013,NA,6.1133806934,26.9,21.6,15.3,87.220535468,16.4,9,71074,320277,10.927103726,22.143142743,11.981372119,6.1133806934,9,35,66.929753531
Clarke,2013,NA,0.4588095287,28.4,24.7,10.5,85.106382979,12.7,10.5,74472,14258,16.587179128,25.486688086,7.1063104036,0.4588095287,1,NA,57.926132786
Craig,2013,NA,4.161775486,27,26.2,NA,82.222222222,NA,9.6,45789,5099,16.630711904,22.22611867,0,4.161775486,12,NA,61.143169425999986
Culpeper,2013,NA,0.8229752028,32.4,24.1,14.8,88.856304985,17.2,10.1,58596,47476,12.635858118,21.494410669,8.5393450322,0.8229752028,NA,NA,65.869731213
Cumberland,2013,NA,22.159452649,33.7,28.8,NA,90.265486726,22,12.7,40080,9969,16.751930986,25.387564243,0,22.159452649,1,NA,57.860504770999995
Dickenson,2013,NA,0.1107701162,31.3,30.2,1.6,85.284280936,35.1,11,33494,15741,17.08277746,22.349282777,0,0.1107701162,1,NA,60.567939763
Dinwiddie,2013,NA,5.6246981958,33.7,24.4,15,83.002832861,31.2,11.2,50152,27918,14.076939609,20.4624865,3.5724492712,5.6246981958,5,48,65.46057389100001
Essex,2013,NA,9.0114081449,32.5,28.6,6.7,90.366972477,15.4,13,42550,11205,17.777777778,21.914177233,26.838432636,9.0114081449,1,NA,60.308044988999995
Fairfax,2013,NA,1.2806623188,23.5,18.5,20.3,83.584515366,12.2,8.1,105409,1100692,10.192678788,21.642124052,11.418741839,1.2806623188,82,28.7,68.16519716
Fauquier,2013,NA,1.1046073669,26.8,20.8,15,86.945169713,17,9.6,85096,66071,13.179761166,24.095296414,10.705983115,1.1046073669,3,45.7,62.72494241999999
Floyd,2013,NA,10.803409931,27.5,24.7,NA,89.86013986,NA,10.8,39997,15378,18.181818182,24.652268015,6.5235827516,10.803409931,NA,NA,57.165913802999995
Fluvanna,2013,NA,2.4206464148,29.5,21.8,19.2,89.134125637,9.9,10.5,62086,26061,16.089175396,21.478735856,11.645058613,2.4206464148,1,NA,62.432088748
Franklin,2013,NA,7.1014697777,29.5,25.7,8.9,91.079812207,23.9,11,49003,56419,18.282847977,22.48186946,7.1142730102,7.1014697777,1,48.2,59.235282563
Frederick,2013,NA,3.0701692377,28.5,26.3,14.2,87.45148771,20.9,8.9,64501,79666,13.09843597,20.423970648,10.189525168,3.0701692377,7,33.2,66.47759338200001
Giles,2013,NA,4.0015007063,28.6,28.8,7,88.802083333,22.2,11.3,43139,17124,18.500350385,24.686817463,0,4.0015007063,5,NA,56.812832152
Gloucester,2013,NA,2.1917594321,28.7,25,19.4,87.627118644,21.6,9.5,58282,36901,15.257039105,21.023125438,10.834236186,2.1917594321,2,NA,63.719835456999995
Goochland,2013,NA,4.4504109734,26.7,21.8,15.8,87.072243346,17.9,10.2,76804,21883,15.861627748,21.378824422,4.5945325063,4.4504109734,NA,69.4,62.759547829999995
Grayson,2013,NA,6.3218735514,28.5,28.5,8.5,86.941580756,23.7,12,31286,15328,21.333507307,19.448887264,0,6.3218735514,12,NA,59.217605428999995
Greene,2013,NA,0,30.6,23.7,NA,85.214007782,NA,9.4,60710,18660,13.295819936,18.586899791,5.4188793756999996,0,3,NA,68.117280273
Greensville,2013,NA,2.9122828498,34.4,29.7,8.3,86.440677966,20.2,11.5,37861,12112,12.84676354,24.812433012,0,2.9122828498,3,NA,62.340803448
Halifax,2013,NA,11.334753893,33.4,32.9,11.2,89.521345408,22,14.6,35170,36056,19.821943643,16.339167768,11.047892614,11.334753893,NA,62.1,63.83888858900001
Hanover,2013,NA,2.3865808852,26.5,20.4,16.8,88.359428182,18.2,9.3,71714,100342,13.709114827,21.710672288,15.005852282,2.3865808852,6,39.6,64.580212885
Henrico,2013,NA,3.7041508468,28.5,25.8,18.8,84.692556634,15.2,9.1,58110,310445,12.627357503,24.261027287,13.987788335,3.7041508468,17,40.6,63.11161521
Henry,2013,NA,6.6475610321,28.5,32.6,10.7,84.362680683,27.7,12.1,32596,53741,20.405277163,23.840938008,9.2383873471,6.6475610321,2,38,55.75378482900001
Highland,2013,NA,30.448063275,26.8,24.6,NA,91.071428571,4.9,11.6,37286,2267,26.554918394,20.261997358,0,30.448063275,NA,NA,53.183084248
Isle of Wight,2013,NA,2.5642228003,31.2,27.9,13.8,87.090909091,13.6,13.1,60922,35356,15.3778708,14.1596824,5.6658828862,2.5642228003,2,NA,70.46244680000001
James City,2013,NA,5.7636306742,26.8,21.3,10.5,90.544041451,11.1,9.8,73575,68200,21.483870968,22.083946148,16.337927757,5.7636306742,16,28.5,56.432182884
King and Queen,2013,NA,4.9369576291,34.1,29.1,NA,89.50617284,NA,12.8,45087,6997,18.322138059,21.019061584,0,4.9369576291,NA,NA,60.658800357000004
King George,2013,NA,0,28.3,21.3,NA,84.848484848,NA,9.2,75935,24161,10.43003187,19.751321995,12.675342234,0,4,NA,69.81864613500001
King William,2013,NA,2.1542317065,30,28.6,11.8,90.243902439,18.6,10,57779,15981,12.521118829,27.027027027,25.015634772,2.1542317065,1,NA,60.451854143999995
Lancaster,2013,NA,0.2467166396,29.9,31.5,21.7,88.775510204,NA,14.2,43470,11282,31.439461088,24.322633127,0,0.2467166396,NA,NA,44.237905784999995
Lee,2013,NA,0.0246469025,34.1,34,9.7,81.774580336,24.2,11.5,30341,25146,15.437842997,15.786208119,0,0.0246469025,4,NA,68.775948884
Loudoun,2013,NA,0.517075565,23.2,20.3,19.3,83.785664579,11.6,7,119525,325405,6.8898756934,20.237811183,14.589048699,0.517075565,18,32,72.8723131236
Louisa,2013,NA,0.8106555892,31.8,30.2,12.1,87.981510015,29.9,11.3,53267,33395,15.06213505,30.192836619,9.0168615311,0.8106555892,NA,49.8,54.745028331
Lunenburg,2013,NA,0.0119526234,34,32.7,9.2,87.749287749,21.6,13.2,34488,12874,17.438247631,21.670908819,7.7393390604,0.0119526234,NA,NA,60.89084355
Madison,2013,NA,0.6410108407,31.6,25.6,NA,91.555555556,NA,10,52116,13169,18.384083833,19.193723784,7.5204933444,0.6410108407,2,NA,62.422192382999995
Mathews,2013,NA,0,28.5,26.8,10.4,87.916666667,NA,12,54113,8962,26.110243249,21.558204875,11.143302875,0,NA,NA,52.33155187599999
Mecklenburg,2013,NA,4.2582815987,32,29.4,13.8,88.440860215,29.8,13.3,36372,32622,21.218809392,17.942423566,6.1143381229,4.2582815987,NA,NA,60.838767042
Middlesex,2013,NA,0.3694374198,27.9,30.8,NA,90.751445087,NA,12.4,46171,10854,26.377372397,19.198700264,9.1099571832,0.3694374198,4,NA,54.423927339
Montgomery,2013,NA,2.3053095235,28.8,21.4,12.2,86.430317848,14.3,6.6,44066,94342,10.103665388,15.561083472,11.638980002,2.3053095235,1,47.2,74.33525114
Nelson,2013,NA,1.8687942341,26.2,24.5,10.9,89.602446483,NA,11.6,46055,15097,20.461018745,15.284814823,6.6595631327,1.8687942341,1,NA,64.25416643199999
New Kent,2013,NA,6.3054e-5,29.1,21.5,NA,68.555240793,NA,10.5,69885,18822,12.878546382,19.089885408,10.771799429,6.3054e-5,NA,NA,68.03156821
Northampton,2013,NA,0.0947996166,29.8,30.5,17.8,88.686131387,24,14.2,35594,12377,22.234790337,21.761768144,8.0684202033,0.0947996166,8,NA,56.003441519000006
Northumberland,2013,NA,1.3902451722,32.9,29.5,12.3,91.341991342,20.2,13.8,45908,12461,31.024797368,19.560475075,0,1.3902451722,NA,66.9,49.41472755699999
Nottoway,2013,NA,21.499332148,32.4,28.2,NA,87.076923077,18.4,11.8,36712,15840,16.988636364,16.106251505,0,21.499332148,NA,NA,66.905112131
Orange,2013,NA,4.348716818,31.4,25.6,14.7,89.465153971,19.7,11.4,56967,33938,18.354057399,20.612373737,8.9394797223,4.348716818,13,31.5,61.033568864
Page,2013,NA,0.6689725452,31.8,27.8,17.7,84.497816594,NA,10.4,40118,23958,17.960597713,22.452707879,8.3187754762,0.6689725452,14,NA,59.586694408
Patrick,2013,NA,1.8789763804,29.9,26.7,14.8,91.604938272,22.5,11.9,34486,18390,22.17509516,21.057684281,5.4083288264,1.8789763804,1,NA,56.767220559
Pittsylvania,2013,NA,4.8512544947,29.4,27.7,9.7,87.068004459,24.5,11.7,40664,62844,17.696200115,18.814573138,0,4.8512544947,2,43.8,63.489226747000004
Powhatan,2013,NA,2.103817196,27.5,27.2,NA,86.378737542,NA,9.2,71507,28110,13.03094984,20.810260327,7.1179443377,2.103817196,2,NA,66.15878983299999
Prince Edward,2013,NA,6.3671030034,31.8,29.3,13.1,89.919354839,26.9,10.2,36503,23343,14.201259478,21.921024546,4.2747830548,6.3671030034,NA,76.8,63.877715976000005
Prince George,2013,NA,8.8729504514,34.6,27.7,NA,77.913279133,NA,10.6,56374,36555,10.625085488,17.101486527,2.8017482909,8.8729504514,9,45.4,72.27342798500001
Prince William,2013,NA,3.0263895727,27.2,20.7,18.3,83.839441536,18.3,8.6,93101,419006,7.1206617566,22.489399535,9.596574761,3.0263895727,32,30.2,70.3899387084
Pulaski,2013,NA,5.9162972514,26.6,24.7,14.4,88.91966759,32.7,11.3,39054,34607,18.366226486,28.497205291,11.495574204,5.9162972514,12,41.1,53.136568223
Rappahannock,2013,NA,18.672896798,26.4,26.3,NA,86.451612903,NA,10.5,59277,7444,19.519075766,19.230213541,0,18.672896798,8,NA,61.250710693
Richmond,2013,NA,2.4343975921,32.1,30,12.6,89.285714286,21.4,11,39624,9220,18.568329718,19.398173025,10.79214332,2.4343975921,NA,NA,62.033497257
Roanoke,2013,NA,2.9297208431,26.9,24,12.3,90.131578947,16.9,10.8,60382,92740,17.599741212,16.854663774,12.996155304,2.9297208431,25,28.1,65.545595014
Rockbridge,2013,NA,6.357401248,28.7,29.1,15.6,88.831168831,17.1,10.5,42567,22375,21.144134078,21.288548631,8.9738412527,6.357401248,1,51.1,57.567317290999995
Rockingham,2013,NA,5.5060990794,26.7,20.8,11,88.337801609,13,8.9,51826,76589,15.802530389,18.775418994,6.5466448445,5.5060990794,5,32.5,65.422050617
Russell,2013,NA,2.9740184622,30.1,35,3.4,87.582781457,24.8,12.1,30562,28749,16.793627604,23.319275614,3.4639232395,2.9740184622,1,NA,59.88709678200001
Scott,2013,NA,5.1532694654,27.8,31.7,8.4,90.9375,29.5,9.9,35342,23126,20.829369541,20.00765244,8.6314790039,5.1532694654,2,NA,59.16297801899999
Shenandoah,2013,NA,2.5602200526,30,28.7,13.6,87.581699346,21,10.4,47669,42289,19.026224314,18.987287036,11.885518683999999,2.5602200526,3,NA,61.98648865
Smyth,2013,NA,3.6725694026,32.3,24.6,6.2,85.046728972,23.8,9.6,34916,32029,18.561303818,21.773983778,9.318506554,3.6725694026,12,38.5,59.664712404
Southampton,2013,NA,14.663404918,28.6,27.8,NA,81.782945736,21.1,12.7,43374,18408,15.81920904,20.294108464,0,14.663404918,4,NA,63.88668249599999
Spotsylvania,2013,NA,5.1438139766,28.4,19.9,15.9,86.661466459,19.3,9.5,75627,124327,10.251996751,20.64863103,7.3233247895,5.1438139766,20,37.2,69.09937221899999
Stafford,2013,NA,2.9751055212,29.9,19.8,14.2,84.350816853,16.3,7.8,90748,132133,7.6233794737,26.908877396,10.017569275,2.9751055212,6,40.2,65.4677431303
Surry,2013,NA,6.6365237136,34.8,26.9,10.8,92.792792793,NA,13.6,46486,6931,16.173712307,28.164046832,0,6.6365237136,4,NA,55.662240861
Sussex,2013,NA,12.181243972,32.8,30.3,NA,91.620111732,9.3,12.2,37329,12087,14.55282535,20.112537873,16.572754392,12.181243972,NA,NA,65.33463677699999
Tazewell,2013,NA,6.9251024016,32.5,37.7,8.8,83.276836158,20.7,11.7,36521,44715,17.67415856,16.770083561,8.8770528185,6.9251024016,2,NA,65.555757879
Warren,2013,NA,1.5161638632,28.6,24.5,13.3,86.764705882,28.1,10.4,56450,37749,13.16591168,19.923962876,7.9882838504,1.5161638632,27,45.5,66.910125444
