fips,county,year,population,x18,x65_and_over,african_american,american_indian_alaskan_native,asian,native_hawaiian_other_pacific_islander,hispanic,percent_not_proficient_in_english,female,rural,diabetes,physical_inactivity.x,percent_high_housing_costs,percent_free_lunch,percent_drive_alone,percent_diabetic,percent_illiterate,zip_codes_with_healthy_foods,number_zip_codes.x,percent_healthy_foods,percent_park_access,percent_food_insecure,number_limited_access.x,percent_limited_access.x,percent_asian,number_food_insecure,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_insufficient_sleep,segregation_index,segregation_index_2,percent_free_or_reduced_lunch,percent_limited_access_to_healthy_foods,deaths,ypll_rate,percent_fair_poor,physically_unhealthy_days,mentally_unhealthy_days,percent_lbw,percent_smokers,percent_obese,percent_excessive_drinking,sti_cases,rates_per_100_000,teen_births,percent_uninsured,pcp_no,no_of_medicare_enrollees,acsc_rate,percent_hb_a1c,mammography_rate,afgr,psed,percent_unemployed,percent_children_in_poverty,percent_no_social_emotional_support,percent_single_parent_households,violent_crimes,pm_days,ozone_days,zip_codes_with_healthy_food,number_zip_codes.y,percent_healthy_food,rec_facs,rec_fac_rate,physical_inactivity.y,motor_vehicle_deaths,number_pcp,number_medicare_enrollees,number_diabetics,number_households,number_limited_access.y,percent_limited_access.y,number_fast_foods,percent_fast_foods,live_births,percent_physically_inactive,dentist_ratio,percent_mammography,percent_some_college,annual_violent_crimes,average_daily_pm25,percent_pop_in_viol,number_rec_facilities,rec_facility_rate,food_environment_index,percent_with_access,percent_alcohol_impaired,mhp_ratio,graduation_rate,injury_deaths,number_household_with_severe_problems,percent_severe_housing_problems,number_deaths,number_live_births,number_primary_care_physicians,number_mental_health_providers,preventable_hosp_rate,percent_receiving_hb_a1c,number_associations,number_violent_crimes,number_injury_deaths,presence_of_violation
51021,Bland,2011,6791,17.9,16.8,4.6,0.1,0.5,0,0.5,1.1,45.6,100,10.6,24.4,20.6,25.1,76.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,10246.4,NA,NA,NA,8.12,NA,27.9,NA,6,86.7,31,15.9,2,1789,103.1904,78.0488,75,75,50.6,7.6,18,NA,14.5,12,0,0,1,4,25,0,0,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51023,Botetourt,2011,32551,21.3,15.7,4.8,0.2,0.8,0,1.1,0.6,50,66.5,10.4,22.6,23.3,12.2,85.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,7465.1,13.1,3.7,3.2,7.18,14.6,26.7,10.3,56,173.6,142,14.5,15,7979,59.7132,83.8542,64.5669,85,61.5,6.3,8,13.6,17.9,60,0,0,4,8,50,2,6,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51025,Brunswick,2011,17514,18.1,15.6,56.1,0.1,0.3,0,2,0.7,46.2,75.9,12.5,28.9,33.2,61.1,78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,8969.3,17.6,4.2,4.2,11.67,25,32.8,11.7,106,603,207,18.1,4,4457,81.009,81.3559,67.9245,70,32.6,11.4,24.8,24.1,58.3,78,1,0,1,11,9.1,1,6,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51027,Buchanan,2011,22860,19.6,14.2,3.4,0.1,0.3,0,0.7,0.7,48.9,100,13.3,32.3,24,48,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,12421.3,34.8,7.6,6.8,8.85,29.4,30.9,10.1,20,85,237,14.7,7,5366,214.5224,80.137,58.0952,65,37.9,9,33.1,26.8,32.9,135,0,0,6,11,54.5,1,4,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51029,Buckingham,2011,16080,19.3,13.1,36.5,0.2,0.2,0,1.1,0.1,44.8,100,12.2,28.7,26.3,45,78.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,9540.8,18.7,3.8,3.2,10.2,NA,31,13.1,28,175.3,160,22.4,7,863,78.6882,80,NA,65,25,8.2,24.8,18.6,31.5,65,0,0,1,6,16.7,1,6,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51031,Campbell,2011,52976,21.6,15.4,14.8,0.2,0.9,0,1.3,1,51.2,61.8,10.5,23.6,24.1,24.4,85.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,7087.8,16,4.2,3,7.74,22.7,28.5,9.8,128,241.4,459,16.9,10,9029,62.4904,81.6733,47.9452,75,54.8,7.2,16.2,25.6,30,275,0,0,3,7,42.9,4,8,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51033,Caroline,2011,27870,23.5,12.7,28,0.6,0.9,0,3.8,1.5,50.5,100,10.7,24.4,31.6,36.6,76.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,8773.4,7.8,2.4,2.8,8.86,NA,29.4,12.5,123,445.1,274,19.5,7,5330,62.8179,82.5758,60.6383,70,45.5,8.2,14.2,NA,25.9,208,1,8,2,6,33.3,0,0,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51035,Carroll,2011,29034,19.7,18.6,1,0.1,0.1,0,2.2,1,50.8,98.3,12,27.3,20.6,39.4,79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416,8435,21.7,4.7,4.4,7.44,37.4,29.9,10.5,28,96,260,18.5,29,8262,76.6631,85.4651,62.9139,70,46.7,10.9,22.5,NA,29.2,175,0,0,2,7,28.6,2,7,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51036,Charles City,2011,7217,18.3,18.2,44.4,7.8,0.1,0,0.8,0.4,51.2,100,14.5,28.5,24.9,39.6,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,6384.4,NA,NA,NA,10.48,NA,33,NA,28,388.2,55,22.3,2,1263,42.9867,91.6667,70,65,36.7,8.8,16.7,NA,22.5,20,1,7,1,1,100,0,0,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51037,Charlotte,2011,12039,22.5,19.2,30.6,0.2,0.2,0,2.2,0.5,51.8,100,11.5,27.2,31.5,38.2,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,10689.1,22.8,4.3,2.7,9.88,19.8,28.3,6.2,38,310.3,126,21.5,4,4406,63.46,83.4783,68.4932,75,48.4,9.5,25.9,NA,40,82,0,0,4,10,40,2,16,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
